datetime,run_file,config_file,average_train_auc,average_valid_auc,train_auc_std,valid_auc_std
2018/06/30 15:33:47,run.py,./configs/lightgbm7_debug.json,0.7865720124136726,0.7226963895445406,0.014593302525290753,0.015173463750252926
2018/06/30 15:34:37,run.py,./configs/lightgbm7_debug.json,0.7865720124136726,0.7226963895445406,0.014593302525290753,0.015173463750252926
2018/06/30 16:01:43,run.py,./configs/lightgbm8.json,0.8771813367166624,0.7915013163755218,0.010705690997268771,0.002338601240893244
2018/06/30 16:33:59,run.py,./configs/lightgbm7.json,0.8845607325590241,0.7920264435804757,0.006909086847163893,0.002760149225119534
2018/07/01 00:33:39,run.py,./configs/lightgbm9.json,0.8798844114170278,0.7917841715452005,0.0056201303859672895,0.002247428667848511
2018/07/09 17:26:55,run.py,configs/lightgbm10.json,0.8748731268565317,0.7909342427469866,0.008611137734344538,0.0022446794662142147
2018/07/09 19:10:42,run.py,configs/lightgbm11.json,0.8755469476302231,0.7911789717335964,0.009064336773396823,0.002305478031013933
2018/07/14 14:40:13,run.py,configs/lightgbm12.json,0.8842275386010641,0.7908981039692302,0.010618460568390343,0.0027554853842152783
2018/07/15 13:56:20,run.py,./configs/lightgbm13.json,0.8536268901159216,0.7910937986478728,0.005563876228183442,0.002334673517266027
2018/07/21 14:48:04,run.py,./configs/lightgbm14.json,0.8635775601142217,0.7921549658595746,0.008175628760030947,0.0013945596175220158
2018/07/21 16:54:32,run.py,./configs/lightgbm14.json,0.8578867974592932,0.7916721014897247,0.0076089428936662535,0.002563780458583176
2018/07/28 18:33:37,run.py,./configs/lightgbm15.json,0.8616972606302957,0.7917804093524303,0.008246413853709444,0.0025347358517517357
2018/08/01 15:14:46,run.py,./configs/lightgbm16.json,0.8567048410476324,0.7923544909570552,0.013618584593256126,0.0025887063340965864
2018/08/02 12:20:24,run.py,./configs/lightgbm17.json,0.8588428436667247,0.7926393762175779,0.007963654230362589,0.002543279148631755
2018/08/02 16:46:13,run.py,./configs/lightgbm18.json,0.8908764803548623,0.7944557433180999,0.012782636667440448,0.002539858004763152
2018/08/03 13:37:40,run.py,./configs/lightgbm19.json,0.8896406321526223,0.794295377925602,0.011135250950266086,0.0026352118360755657
2018/08/04 19:20:55,run.py,./configs/lightgbm20.json,0.8826959897083363,0.7942569417883976,0.012804273032613452,0.0022057563508440783
2018/08/06 13:54:25,run.py,./configs/lightgbm21.json,0.8763055576788308,0.7949152574015343,0.008788764705852721,0.00250268835793548
2018/08/06 18:46:21,run.py,./configs/lightgbm22.json,0.8754470327756767,0.7954312854442345,0.009980042268100744,0.002366723350180716
2018/08/10 14:04:01,run.py,./configs/lightgbm23.json,0.7893132105430578,0.7580562860758053,0.03869099203965371,0.0133858875583509
2018/08/10 18:04:15,run.py,./configs/lightgbm24.json,0.8752849373278165,0.7956006344980372,0.004966899824370027,0.0024322498790379
2018/08/13 23:47:55,run.py,./configs/lightgbm26_1.json,0.9349001660984352,0.7777595943701372,0.021120914120866342,0.010319142823008307
2018/08/14 00:49:16,run.py,./configs/lightgbm26_1.json,0.9278656788180784,0.7777581956464725,0.015939402123935714,0.010165596184572022
2018/08/15 15:07:51,run.py,./configs/lightgbm26.json,0.9166489640702858,0.7745257452574527,0.023326007292658244,0.029070180730837974
2018/08/15 15:15:51,run.py,./configs/lightgbm26.json,0.9168645860652156,0.7745523210070809,0.02335256085915471,0.02903144459275233
2018/08/15 15:22:04,run.py,./configs/lightgbm26.json,0.9200817379141532,0.7732060494798497,0.019722496278100743,0.029856814459786
2018/08/20 15:54:01,run.py,./configs/lightgbm31.json,0.8721069138352799,0.7952648346523644,0.0054091722041223434,0.0024705174242537703
2018/08/21 12:10:26,run.py,./configs/lightgbm32.json,0.8664879273815916,0.7951723711966654,0.004220836167234239,0.0024832785466038084
2018/08/21 20:48:08,run.py,./configs/lightgbm33.json,0.8611956157113854,0.7951927204697373,0.005153011769582334,0.002467755740359145
2018/08/22 10:30:40,run.py,./configs/lightgbm34.json,0.8425343900526556,0.794455623726333,0.00897527688208297,0.0025685722941171498
2018/08/22 16:39:57,run.py,./configs/xgboost36.json,0.8528718000000001,0.7679538000000001,0.004509059476210097,0.002066727016323151
2018/08/23 18:38:43,run.py,./configs/lightgbm37.json,0.8662417774555671,0.7947651752100714,0.010327896563076543,0.002591944119262889
2018/08/24 13:24:49,run.py,./configs/lightgbm38.json,0.8747936205772738,0.795273009141542,0.003587264823590603,0.002404585282497497
2018/08/25 20:25:54,run.py,./configs/lightgbm40.json,0.8753596361656051,0.7924618367096486,0.004515592140891575,0.00255631068740858
2018/08/26 04:52:21,run.py,./configs/lightgbm41.json,0.8699382794611159,0.7967358529029778,0.008076904357226048,0.0037520589430869757
2018/08/28 20:24:49,run.py,./configs/lightgbm43.json,0.8615805599353363,0.7960060594378614,0.008994243849856346,0.003779910807037599
2018/08/29 22:44:38,run.py,./configs/lightgbm44.json,0.8730856931968125,0.7964075106063856,0.011023449696529068,0.0040704345182132305
